Number,Type,Name,Route
(100) 44000,IC,MORAVIA,WienHbf_Břeclav_Přerov_Ostravahl.n._Bohumin_Chałupki_Racibórz_Gliwice_Katowice
(101) 40001,IC,MORAVIA,Katowice_Gliwice_Racibórz_Chałupki_Bohumin_Ostravahl.n._Přerov_Břeclav_WienHbf
(102) 41002/3,IC,POLONIA,WienHbf_Břeclav_Přerov_Ostravahl.n._Bohumin_PetroviceuKarviné_Zebrzydowice_Pszczyna_Tychy_Katowice_Zawiercie_WarszawaCentr._WarszawaWsch.
(103) 14002/3,IC,POLONIA,WarszawaWsch._WarszawaCentr._Zawiercie_Katowice_Tychy_Pszczyna_Zebrzydowice_PetroviceuKarviné_Bohumin_Ostravahl.n._Přerov_Břeclav_WienHbf
(104) 43002/3,IC,PORTA MORAVICA,GrazHbf_Brucka.d.Mur_WienerNeustadt_WienHbf_Břeclav_Přerov_Ostravahl.n._Bohumin_Chałupki_WodzisławŚl._Mikołów_Katowice_KrakówGł._RzeszówGł._PrzemyślGł.
(104) 43002/3,IC,PORTA MORAVICA,GrazHbf_Brucka.d.Mur_WienerNeustadt_WienHbf_Břeclav_Přerov_Ostravahl.n._Bohumin_Chałupki_WodzisławŚl._Mikołów_Katowice_KrakówGł._RzeszówGł._PrzemyślGł.
(105) 34002/3,IC,PORTA MORAVICA,PrzemyślGł._RzeszówGł._KrakówGł._Katowice_Mikołów_WodzisławŚl._Chałupki_Bohumin_Ostravahl.n._Břeclav_WienHbf_WienerNeustadt_Brucka.d.Mur_GrazHbf
(105) 34002/3,IC,PORTA MORAVICA,PrzemyślGł._RzeszówGł._KrakówGł._Katowice_Mikołów_WodzisławŚl._Chałupki_Bohumin_Ostravahl.n._Břeclav_WienHbf_WienerNeustadt_Brucka.d.Mur_GrazHbf
(106) 45000/1,IC,SOBIESKI,WienHbf_Břeclav_Přerov_Ostravahl.n._Bohumin_Chałupki_Rybnik_Tychy_Katowice_SosonowiecGł._Zawiercie_WarszawaCentr._Działdowo_Tczew_GdańskGł._GdyniaGł.
(107) 54000/1,IC,SOBIESKI,GdyniaGł._GdańskGł._Tczew_Działdowo_WarszawaCentr._Zawiercie_SosonowiecGł._Katowice_Tychy_Rybnik_Chałupki_Bohumin_Ostravahl.n._Přerov_Břeclav_WienHbf
(108) 14008/9,IC,SILESIA,WarszawaWsch._WarszawaCentr._WłoszczowaPłn._Katowice_Tychy_WodzisławŚl._Chałupki_Bohumin
(109) 41008/9,IC,SILESIA,Bohumin_Chałupki_WodzisławŚl._Rybnik_Tychy_Katowice_Zawiercie_WłoszczowaPłn._OpocznoPłd._WarszawaGdańska_WarszawaWsch.
(110) 14008/9,IC,SILESIA,WarszawaWsch._WarszawaCentr._WłoszczowaPłn._Katowice_Tychy_WodzisławŚl._Chałupki_Ostrava_Svinov
(111) 41008/9,IC,SILESIA,Ostrava_Svinov_Chałupki_WodzisławŚl._Rybnik_Tychy_Katowice_Zawiercie_WłoszczowaPłn._OpocznoPłd._WarszawaGdańska_WarszawaWsch.
(112) 14006/7,IC,SILESIA,WarszawaWsch._WarszawaCentr._OpocznoPłd._WłoszczowaPłn._Katowice_Tychy_WodzisławŚl._Chałupki_Bohumin_Ostravahl.n._Olomouchl.n._ČeskáTřebová_Kolín_Praha_Vršovice
(113) 41006/7,IC,SILESIA,Praha_Vršovice_Kolín_ČeskáTřebová_Olomouchl.n._Ostravahl.n._Bohumin_Chałupki_WodzisławŚl._Tychy_Katowice_WłoszczowaPłn._OpocznoPłd._WarszawaCentr._WarszawaWsch.
(114) 34000/1,IC,CRACOVIA,PrzemyślGł._RzeszówGł._KrakówGł._Katowice_Tychy_WodzisławŚl._Chałupki_Bohumin_Ostravahl.n._Olomouchl.n._ČeskáTřebová_Kolín_Praha_Vršovice
