Number,Train ID,Train Name,Route,Average delay,D-1,D-2,D-3,Amenities,Stations
414,73000/1,WAWEL,Frankfurt/Oder-Przemyśl Główny,29,14,3,20,"Klasa 2,Klimatyzacja,Gniazdko 230 V,Wagon bezprzedziałowy,Miejsca dla wózków inwalidzkich,Przedział konduktorski,Wagon restauracyjny,Klasa 1","Frankfurt/Oder,Rzepin,Zielona Góra Główna,Głogów,Lubin,Legnica,Wrocław Główny,Opole Główne,Gliwice,Zabrze,Katowice,Kraków Główny,Kraków Płaszów,Bochnia,Tarnów,Dębica,Rzeszów Główny,Łańcut,Przeworsk,Jarosław,Przemyśl Główny"
383,3600/1,WYSPIAŃSKI,Przemyśl Główny-Wrocław Główny,16,6,2,7,"Klasa 2,Wagon bezprzedziałowy,Klimatyzacja,Miejsca dla rowerów,Gniazdko 230 V,Przedział konduktorski,Klasa 1","Przemyśl Główny,Przemyśl Zasanie,Jarosław,Przeworsk,Łańcut,Rzeszów Główny,Dębica,Tarnów,Bochnia,Kraków Płaszów,Kraków Główny,Katowice,Zabrze,Gliwice,Opole Główne,Wrocław Główny"
382,3514/5,ARTUS,Przemyśl Główny-Gdynia Główna,16,28,2,0,"Klasa 1,Klimatyzacja,Gniazdko 230 V,Wagon restauracyjny,Klasa 2,Wagon bezprzedziałowy,Miejsca dla rowerów,Przedział konduktorski,Na zarządenie","Przemyśl Główny,Przemyśl Zasanie,Radymno,Jarosław,Przeworsk,Łańcut,Rzeszów Główny,Sędziszów Małopolski,Ropczyce,Dębica,Tarnów,Brzesko Okocim,Bochnia,Kraków Płaszów,Kraków Główny,Krzeszowice,Trzebinia,Jaworzno Szczakowa,Mysłowice,Katowice,Zabrze,Gliwice,Pyskowice,Strzelce Opolskie,Opole Główne,Brzeg,Oława,Wrocław Główny,Oborniki Śląskie,Żmigród,Rawicz,Leszno,Kościan,Poznań Główny,Gniezno,Mogilno,Inowrocław,Bydgoszcz Główna,Laskowice Pomorskie,Tczew,Gdańsk Główny,Gdańsk Wrzeszcz,Gdańsk Oliwa,Sopot,Gdynia Główna"
380,5314/5,ARTUS,Gdynia Główna-Przemyśl Główny,16,5,7,8,"Klasa 2,Na zarządenie,Wagon bezprzedziałowy,Klimatyzacja,Gniazdko 230 V,Przedział konduktorski,Miejsca dla rowerów,Klasa 1,Wagon restauracyjny","Gdynia Główna,Sopot,Gdańsk Oliwa,Gdańsk Wrzeszcz,Gdańsk Główny,Tczew,Laskowice Pomorskie,Bydgoszcz Główna,Inowrocław,Mogilno,Gniezno,Poznań Główny,Kościan,Leszno,Rawicz,Żmigród,Oborniki Śląskie,Wrocław Główny,Oława,Brzeg,Opole Główne,Strzelce Opolskie,Pyskowice,Gliwice,Zabrze,Katowice,Mysłowice,Jaworzno Szczakowa,Trzebinia,Krzeszowice,Kraków Główny,Kraków Płaszów,Bochnia,Brzesko Okocim,Tarnów,Dębica,Ropczyce,Sędziszów Małopolski,Rzeszów Główny,Łańcut,Przeworsk,Jarosław,Radymno,Przemyśl Zasanie,Przemyśl Główny"
353,38104/5,CHEŁMOŃSKI,Kraków Główny-Świnoujście,13,9,16,15,"Klasa 2,Na zarządenie,Klimatyzacja,Gniazdko 230 V,Przedział konduktorski,Wagon bezprzedziałowy,Miejsca dla wózków inwalidzkich,Miejsca dla rowerów,Wagon restauracyjny,Klasa 1","Kraków Główny,Krzeszowice,Trzebinia,Jaworzno Szczakowa,Mysłowice,Katowice,Zabrze,Gliwice,Kędzierzyn-Koźle,Zdzieszowice,Gogolin,Opole Główne,Brzeg,Oława,Wrocław Główny,Legnica,Lubin,Głogów,Bytom Odrzański,Nowa Sól,Zielona Góra Główna,Rzepin,Kostrzyn,Chojna,Gryfino,Szczecin Główny,Szczecin Dąbie,Goleniów,Wysoka Kamieńska,Międzyzdroje,Świnoujście"
337,3804/5,MATEJKO,Przemyśl Główny-Szczecin Główny,11,6,5,3,"Klasa 2,Wagon bezprzedziałowy,Klimatyzacja,Miejsca dla rowerów,Gniazdko 230 V,Przedział konduktorski,Miejsca dla wózków inwalidzkich,Wagon restauracyjny,Klasa 1","Przemyśl Główny,Przemyśl Zasanie,Radymno,Jarosław,Przeworsk,Łańcut,Rzeszów Główny,Sędziszów Małopolski,Ropczyce,Dębica,Tarnów,Brzesko Okocim,Bochnia,Kraków Płaszów,Kraków Główny,Krzeszowice,Trzebinia,Jaworzno Szczakowa,Mysłowice,Katowice,Zabrze,Gliwice,Kędzierzyn-Koźle,Zdzieszowice,Gogolin,Opole Główne,Brzeg,Oława,Wrocław Główny,Brzeg Dolny,Wołów,Ścinawa,Głogów,Bytom Odrzański,Nowa Sól,Zielona Góra Główna,Rzepin,Kostrzyn,Mieszkowice,Chojna,Gryfino,Szczecin Główny"
334,3806/7,MALCZEWSKI,Kraków Główny-Kołobrzeg,11,2,1,6,"Klasa 1,Klimatyzacja,Gniazdko 230 V,Wagon restauracyjny,Klasa 2,Wagon bezprzedziałowy,Miejsca dla wózków inwalidzkich,Przedział konduktorski,Miejsca dla rowerów,Klasa 1 i 2","Kraków Główny,Katowice,Zabrze,Gliwice,Opole Główne,Wrocław Główny,Oborniki Śląskie,Żmigród,Rawicz,Leszno,Kościan,Poznań Główny,Oborniki Wielkopolskie Miasto,Rogoźno Wielkopolskie,Chodzież,Piła Główna,Jastrowie,Szczecinek,Białogard,Kołobrzeg"
328,37000/1,WAWEL,Przemyśl Główny-Frankfurt/Oder,11,4,6,46,"Klasa 1,Wagon bezprzedziałowy,Klimatyzacja,Gniazdko 230 V,Wagon restauracyjny,Klasa 2,Miejsca dla wózków inwalidzkich,Przedział konduktorski","Przemyśl Główny,Jarosław,Przeworsk,Łańcut,Rzeszów Główny,Dębica,Tarnów,Bochnia,Kraków Płaszów,Kraków Główny,Katowice,Zabrze,Gliwice,Opole Główne,Wrocław Główny,Legnica,Lubin,Głogów,Zielona Góra Główna,Rzepin,Frankfurt/Oder"
324,7201/0,HETMAN,Zielona Góra Główna-Lublin Główny,11,8,14,23,"Klasa 2,Klimatyzacja,Gniazdko 230 V,Przedział konduktorski,Klasa 1 i 2,Miejsca dla rowerów,Miejsca dla wózków inwalidzkich,Wagon bezprzedziałowy","Zielona Góra Główna,Nowogród Osiedle,Żary,Żagań,Małomice,Rokitki,Legnica,Wrocław Główny,Opole Główne,Gliwice,Zabrze,Katowice,Kraków Główny,Kraków Płaszów,Bochnia,Tarnów,Dębica,Rzeszów Główny,Łańcut,Leżajsk,Nowa Sarzyna,Rudnik nad Sanem,Nisko,Stalowa Wola Centrum,Stalowa Wola Rozwadów,Zaklików,Kraśnik,Lublin Główny"
313,3512/3,PIAST,Kraków Główny-Gdynia Główna,11,3,3,0,"Klasa 1 i 2,Klimatyzacja,Gniazdko 230 V,Klasa 1,Wagon restauracyjny,Klasa 2,Miejsca dla rowerów,Miejsca dla wózków inwalidzkich,Przedział konduktorski,Wagon bezprzedziałowy","Kraków Główny,Krzeszowice,Trzebinia,Jaworzno Szczakowa,Mysłowice,Katowice,Zabrze,Gliwice,Strzelce Opolskie,Opole Główne,Brzeg,Oława,Wrocław Główny,Oborniki Śląskie,Żmigród,Rawicz,Leszno,Kościan,Poznań Główny,Gniezno,Mogilno,Inowrocław,Bydgoszcz Główna,Laskowice Pomorskie,Tczew,Gdańsk Główny,Gdańsk Wrzeszcz,Gdańsk Oliwa,Sopot,Gdynia Główna"
